loss,greedy_rewards,sample_rewards
9.4417142868042,[-150.16356],[-483.87518]
8.428496360778809,[-60.108154],[-208.39267]
8.036628723144531,[-98.07262],[-485.5735]
6.864727020263672,[-66.65514],[-484.34683]
5.600822448730469,[-134.47568],[-504.31006]
5.3044753074646,[-141.72533],[-585.6403]
3.7891974449157715,[-155.4751],[-243.05887]
4.083858013153076,[-170.78795],[-470.58]
2.919534206390381,[-139.12479],[-496.90045]
2.15985107421875,[-170.11447],[-281.50354]
2.5432839393615723,[-171.08084],[-493.58978]
1.9430224895477295,[-166.36372],[-471.1176]
0.5474977493286133,[286.13254],[-449.4765]
0.2449169009923935,[2163.075],[-226.19675]
-1.403674602508545,[2468.0894],[-396.45734]
0.10390083491802216,[1905.7549],[-392.52728]
0.8630490303039551,[1471.0055],[-436.17365]
-0.657576322555542,[577.20074],[-365.05603]
-2.613738775253296,[-50.81639],[-196.80307]
-2.001147747039795,[-48.18587],[-59.98512]
-1.9714802503585815,[-44.904736],[-445.0392]
-2.1120107173919678,[-43.63723],[198.91605]
-2.8197879791259766,[-42.154633],[61.590233]
-2.33848237991333,[-40.8811],[-230.3323]
-1.9864728450775146,[-41.526142],[-103.852394]
-2.701714277267456,[-42.478966],[303.80304]
-1.2837443351745605,[-41.10155],[-184.67209]
-5.039716720581055,[-40.390648],[353.86493]
-3.4504151344299316,[-40.685867],[-51.360504]
-3.205029249191284,[-40.410435],[556.21576]
-4.725427150726318,[-40.30117],[44.884167]
-4.554543495178223,[-40.83848],[-137.9654]
-4.244787693023682,[-40.64778],[178.09183]
-4.788667678833008,[-41.13545],[163.3776]
-4.842913627624512,[-38.547844],[67.35588]
-4.98502254486084,[-39.47956],[-51.814404]
-5.132367134094238,[-39.405766],[-80.5986]
-5.807337760925293,[-39.311745],[239.66072]
-6.8056135177612305,[-38.49868],[83.81779]
-5.398128509521484,[-37.98201],[-41.382557]
